num,open,high,low,close,Volume,ma5,ma10,ma20,ma60,ma120,gain,loss,sumgain,sumloss,avggain,avgloss,rs,rsi,EMA12,EMA26,macd
10000,43312.89,43388.17,42902.07,43119.39,675670189.9,42665.144,42457.7,42032.014,42901.16017,45323.34642,0,0,1,1,1,1,1,50,0,0,0
9999,43198.06,43444,43054.96,43312.26,824014797.4,42386.452,42356.947,41914.6045,42940.20533,45359.239,0,114.83,1,1,1,1,1,50,0,0,0
9998,42298.57,43290,42298.57,43198.05,1344818263,42176.832,42238.525,41854.701,42979.453,45395.34675,0,899.49,1,1,1,1,1,50,0,0,0
9997,42352.22,42578.67,42252.67,42298.58,695225077.5,42193.106,42197.811,41849.773,43040.3435,45438.60792,53.65,0,1,1,1,1,1,50,0,0,0
9996,42163.98,42663.73,42044,42352.21,938387503.5,42178.586,42167.155,41816.5505,43121.53167,45479.47275,0,188.24,1,1,1,1,1,50,0,0,0
9995,41919.43,42222.22,41868.86,42163.98,418375184.4,42250.256,42151.196,41830.8915,43202.10467,45523.72433,0,244.55,1,1,1,1,1,50,0,0,0
9994,42149.96,42198.88,41838.04,41919.42,521493306.1,42327.442,42177.253,41888.199,43291.06283,45569.53383,230.53,0,1,1,1,1,1,50,0,0,0
9993,42379.94,42492.99,41925.93,42149.96,518295743.5,42300.218,42063.126,41901.676,43372.77183,45613.80667,229.98,0,1,1,1,1,1,50,0,0,0
9992,42279.62,42439.77,42135.55,42379.94,394602186.4,42202.516,41897.915,41938.785,43457.50983,45658.336,0,100.32,1,1,1,1,1,50,0,0,0
9991,42522.33,42595.66,42231.3,42279.62,443515644,42155.724,41721.891,41980.2905,43546.0685,45705.28908,242.71,0,1,1,1,1,1,50,0,0,0
9990,42305.36,42730.24,42120,42522.33,656035156.1,42052.136,41606.328,42017.6335,43627.19617,45748.65942,0,216.97,1,1,1,1,1,50,0,0,0
9989,42013.84,42352.69,41860.24,42305.99,504967307.6,42027.064,41472.262,42073.3985,43716.4805,45796.58217,0,291.52,1,1,1,1,1,50,42305.99,0,0
9988,41891.43,42222,41832.82,42014.83,375823784.4,41826.034,41470.877,42129.5215,43805.983,45846.839,0,122.41,1,1,1,1,1,50,42242.21154,0,0
9987,42045.66,42204.31,41808.19,41891.43,444364642.6,41593.314,41501.735,42197.232,43900.38817,45898.27792,154.23,0,911.1,2178.33,65.07857143,155.595,0.418256187,29.49087696,42211.97284,0,0
9986,42004.39,42400,41983.31,42045.65,468489056.9,41288.058,41465.946,42259.0305,43993.90417,45947.05733,0,41.27,911.1,2219.6,60.43010204,147.4289286,0.40989311,29.07263729,42180.03702,0,0
9985,42180,42269.74,41883.51,42005,529907400.2,41160.52,41510.587,42302.4705,44086.692,45994.99225,175.61,0,1086.71,2104.77,68.65723761,136.8982908,0.50152005,33.4008227,42180.03132,0,0
9984,41008.69,42349,40803.23,42180,1479460684,40917.46,41599.145,42320.969,44172.50383,46043.74217,0,1171.31,1086.71,2376.59,63.75314921,210.7848415,0.302456044,23.22197706,41999.82497,0,0
9983,40727.83,41477.96,40551.49,41008.7,1234414662,41115.72,41740.226,42391.3855,44277.05233,46097.90242,0,280.86,1033.06,2657.45,59.19935284,215.7902099,0.274337528,21.52785445,41804.13343,0,0
9982,40519.38,41060,40211.49,40726.1,1328799223,41410.156,41979.655,42488.443,44387.3245,46156.38342,0,208.45,1033.06,2677.66,54.97082763,215.2659092,0.255362439,20.3417301,41606.47906,0,0
9981,41366.7,41641,40466,40519.37,1165839456,41643.834,42238.69,42606.178,44513.29633,46215.75083,847.32,0,1880.38,2433.11,111.5671971,199.8897729,0.558143598,35.82106289,41569.58997,0,0
9980,40964.7,41948,39503.58,41366.68,3337375591,41860.654,42428.939,42674.8555,44625.8515,46268.32067,0,402,1649.85,2835.11,103.5981116,214.3262177,0.48336649,32.58577657,41476.52998,0,0
9979,41999.99,42325,40733.6,40964.71,1875150945,42280.83,42674.535,42710.317,44747.27383,46319.86858,1035.29,0,2455.16,2835.11,170.1475322,199.0172021,0.854938821,46.08986623,41557.06229,0,0
9978,42200.01,42484.21,41716.07,41999.99,890094631,42364.732,42788.166,42761.648,44849.92733,46365.2135,200.02,0,2655.18,2734.79,172.2812799,184.8016877,0.932249494,48.24684892,41655.97732,0,0
9977,41687.77,42819.31,41616.8,42200.01,1850150872,42549.154,42892.729,42819.0465,44948.67633,46410.71625,0,512.24,2412.47,3247.03,159.9754742,208.1901385,0.768410431,43.45204132,41660.8685,0,0
9976,42450.8,42600,41480.11,41687.77,1746829652,42833.546,43052.115,42911.481,45054.02467,46458.34242,763.03,0,3175.5,3030.06,203.0507975,193.3194144,1.050338364,51.22756236,41782.39642,0,0
9975,43065.58,43272.81,42355,42450.8,1033861335,42997.224,43094.354,42966.3425,45144.11117,46504.24508,614.78,0,3790.28,2738.54,232.4600262,179.5108848,1.294963403,56.42632041,41979.80928,41877.44706,102.3622225
9974,42419.5,43337.77,42305.15,43066.21,1054640142,43068.24,43042.793,43005.664,45223.8605,46545.47325,0,646.08,3790.28,3262.21,215.8557386,212.8372501,1.014182144,50.35205713,42047.45401,42012.37897,35.07504299
9973,43122.12,43162.77,42151,42419.5,1418719116,43211.6,43042.545,43055.4995,45317.00517,46588.49417,702.62,0,4338.67,3262.21,250.6246144,197.6345894,1.268121209,55.91064551,42212.78724,42127.0589,85.72834122
9972,43109.73,43322.7,42822.01,43122.12,808828005.1,43236.304,42997.231,43101.4345,45396.11617,46624.62842,0,12.39,4338.67,3233.33,232.7228563,184.402833,1.262035146,55.79202198,42350.77843,42279.22744,71.55098958
9971,43269.19,43535.55,43053.74,43109.73,755205644.4,43270.684,42973.666,43138.058,45476.62967,46665.63075,159.46,0,4322.52,3233.33,227.4897951,171.2312021,1.328553396,57.05488216,42492.07252,42418.80892,73.26360087
9970,43420.66,43554.93,43213.43,43269.19,437495127.2,43191.484,42920.772,43166.4435,45560.22,46704.13775,151.47,0,4473.99,2062.02,222.0598097,159.000402,1.396599046,58.27420521,42634.93213,42560.85678,74.07535458
9969,43136.3,43629.6,43050,43420.65,606115589.9,43017.346,42746.099,43185.3105,45637.40283,46740.79483,0,284.36,4473.99,2065.52,206.1983948,167.954659,1.227702739,55.11070743,42712.06565,42672.07049,39.99515758
9968,43245.64,43410.65,43055.4,43136.3,433227456.3,42873.49,42735.13,43230.3515,45716.54783,46780.50808,109.34,0,4583.33,1857.07,199.279938,155.9578976,1.277780356,56.09761068,42794.15401,42751.58968,42.56433561
9967,43281.63,43460,43026.16,43245.64,606350038.2,42758.158,42745.364,43244.8195,45795.297,46820.72183,35.99,0,3772,1857.07,187.616371,144.8180478,1.295531696,56.43710771,42869.15032,42830.26334,38.88697344
9966,42873.19,43330,42717.27,43282.03,646406311.6,42676.648,42770.847,43267.2385,45878.47383,46862.70817,0,408.44,3772,1863.51,174.2152016,163.6481872,1.064571534,51.56379986,42869.77181,42869.44955,0.32225388
9965,42549.97,43056.87,42539.27,42873.19,607912572.4,42650.06,42838.331,43353.286,45968.8845,46908.24275,0,323.22,2736.71,2186.73,161.7712587,175.0461738,0.924163351,48.02936043,42820.57153,42846.08278,-25.51125526
9964,42417.02,42740,42154.36,42549.97,540964240,42474.852,42968.535,43469.0015,46065.46817,46955.70475,0,132.95,2536.69,2319.68,150.2161688,172.0393043,0.873150292,46.61400079,42758.48668,42790.67882,-32.19214477
9963,42668.98,42874.53,42284.49,42417.02,623329863.9,42596.77,43068.454,43600.9255,46162.05383,47004.4945,251.96,0,2788.65,1807.44,157.4835853,159.7507825,0.985807911,49.6426621,42744.71642,42751.85655,-7.140133892
9962,42874.08,42950,42566.29,42668.97,471222371,42732.57,43205.638,43708.763,46257.90783,47045.70767,205.1,0,2230.72,1807.44,160.8847578,148.3400124,1.084567509,52.02841858,42764.61851,42754.29891,10.31960181
9961,42740.25,43103.74,42500.17,42874.08,784944985.3,42865.046,43302.45,43847.134,46351.2775,47087.72108,0,133.83,1615.94,1941.27,149.3929893,147.3035829,1.014184356,50.35211166,42760.86951,42762.81343,-1.943926676
